Total Profit,52933.61702,,,,
,X,Obj,rc,Objlow,ObjUp
A,208.5106383,-11,0,-11,4.521428571
B,791.4893617,-17.5,0,-33.02142857,-17.5
EA,0,-15,-7.11E-15,#NAME?,-15
EB,400,-21.5,0,-21.5,inf
A1,83.40425532,82,0,82,126.9583333
A2,0,87.5,-23.11702128,#NAME?,110.6170213
B1,250.212766,82,0,82,887.5
B2,466.3829787,87.5,0,81,87.5
EA1,0,75.5,7.11E-15,#NAME?,75.5
EA2,0,81,-23.11702128,#NAME?,104.1170213
EB1,0,75.5,7.11E-15,#NAME?,75.5
EB2,117.4468085,81,0,81,87.5
,,,,,
,RHS,Slack,pi,RHSlow,RHSup
Total Harvest (without overtime),1000,0,35.23829787,820.7792208,1278.571429
Extra Harvest,400,0,31.23829787,220.7792208,678.5714286
Total Mix (without overtime),800,0,6.5,617.4468085,917.4468085
Extra Mix,300,182.5531915,0,117.4468085,inf
Enviorment A Mix,0,0,-115.5957447,-98,71.68831169
Enviorment B Mix,0,0,-75.34042553,-195,125.4545455
Good Critters,0,0,-171.3829787,-24.5,46
Bad Critters,0,0,1147.87234,-6.133333333,3.266666667
